id,iso_code3,country,data_source,sector,gas,unit,emissions
1068463,VNM,Vietnam,Climate Watch,Total excluding LUCF,All GHG,MtCO₂e,"[{'year': 1990, 'value': 73.97}, {'year': 1991, 'value': 77.97}, {'year': 1992, 'value': 80.57}, {'year': 1993, 'value': 85.97}, {'year': 1994, 'value': 90.82}, {'year': 1995, 'value': 98.71}, {'year': 1996, 'value': 106.89}, {'year': 1997, 'value': 114.85}, {'year': 1998, 'value': 124.92}, {'year': 1999, 'value': 129.77}, {'year': 2000, 'value': 137.5}, {'year': 2001, 'value': 142.22}, {'year': 2002, 'value': 155.0}, {'year': 2003, 'value': 162.92}, {'year': 2004, 'value': 183.36}, {'year': 2005, 'value': 193.21}, {'year': 2006, 'value': 198.48}, {'year': 2007, 'value': 211.86}, {'year': 2008, 'value': 222.14}, {'year': 2009, 'value': 245.02}, {'year': 2010, 'value': 262.97}, {'year': 2011, 'value': 267.81}, {'year': 2012, 'value': 268.93}, {'year': 2013, 'value': 281.53}, {'year': 2014, 'value': 296.89}, {'year': 2015, 'value': 318.73}, {'year': 2016, 'value': 339.59}, {'year': 2017, 'value': 348.45}, {'year': 2018, 'value': 407.47}, {'year': 2019, 'value': 464.13}, {'year': 2020, 'value': 477.3}, {'year': 2021, 'value': 470.07}]"
1068464,VNM,Vietnam,Climate Watch,Total including LUCF,All GHG,MtCO₂e,"[{'year': 1990, 'value': 1.28}, {'year': 1991, 'value': 5.28}, {'year': 1992, 'value': 7.88}, {'year': 1993, 'value': 13.28}, {'year': 1994, 'value': 18.14}, {'year': 1995, 'value': 26.04}, {'year': 1996, 'value': 33.94}, {'year': 1997, 'value': 41.66}, {'year': 1998, 'value': 53.22}, {'year': 1999, 'value': 57.19}, {'year': 2000, 'value': 64.91}, {'year': 2001, 'value': 159.4}, {'year': 2002, 'value': 175.64}, {'year': 2003, 'value': 181.16}, {'year': 2004, 'value': 202.26}, {'year': 2005, 'value': 211.98}, {'year': 2006, 'value': 216.02}, {'year': 2007, 'value': 230.47}, {'year': 2008, 'value': 239.58}, {'year': 2009, 'value': 262.65}, {'year': 2010, 'value': 281.2}, {'year': 2011, 'value': 244.74}, {'year': 2012, 'value': 245.94}, {'year': 2013, 'value': 260.81}, {'year': 2014, 'value': 274.67}, {'year': 2015, 'value': 295.57}, {'year': 2016, 'value': 326.93}, {'year': 2017, 'value': 335.32}, {'year': 2018, 'value': 394.39}, {'year': 2019, 'value': 451.19}, {'year': 2020, 'value': 464.89}, {'year': 2021, 'value': 457.05}]"
1068465,VNM,Vietnam,Climate Watch,Energy,All GHG,MtCO₂e,"[{'year': 1990, 'value': 24.35}, {'year': 1991, 'value': 25.57}, {'year': 1992, 'value': 26.65}, {'year': 1993, 'value': 30.63}, {'year': 1994, 'value': 32.57}, {'year': 1995, 'value': 37.96}, {'year': 1996, 'value': 41.93}, {'year': 1997, 'value': 47.8}, {'year': 1998, 'value': 52.74}, {'year': 1999, 'value': 54.04}, {'year': 2000, 'value': 58.27}, {'year': 2001, 'value': 63.68}, {'year': 2002, 'value': 72.52}, {'year': 2003, 'value': 76.68}, {'year': 2004, 'value': 93.66}, {'year': 2005, 'value': 101.18}, {'year': 2006, 'value': 104.41}, {'year': 2007, 'value': 113.65}, {'year': 2008, 'value': 124.15}, {'year': 2009, 'value': 136.95}, {'year': 2010, 'value': 151.74}, {'year': 2011, 'value': 152.53}, {'year': 2012, 'value': 151.84}, {'year': 2013, 'value': 158.37}, {'year': 2014, 'value': 172.32}, {'year': 2015, 'value': 189.13}, {'year': 2016, 'value': 207.19}, {'year': 2017, 'value': 208.87}, {'year': 2018, 'value': 259.91}, {'year': 2019, 'value': 310.15}, {'year': 2020, 'value': 318.79}, {'year': 2021, 'value': 307.93}]"
1068466,VNM,Vietnam,Climate Watch,Industrial Processes,All GHG,MtCO₂e,"[{'year': 1990, 'value': 1.16}, {'year': 1991, 'value': 1.4}, {'year': 1992, 'value': 1.86}, {'year': 1993, 'value': 1.95}, {'year': 1994, 'value': 2.19}, {'year': 1995, 'value': 2.69}, {'year': 1996, 'value': 3.1}, {'year': 1997, 'value': 3.79}, {'year': 1998, 'value': 4.61}, {'year': 1999, 'value': 5.0}, {'year': 2000, 'value': 6.26}, {'year': 2001, 'value': 7.28}, {'year': 2002, 'value': 9.05}, {'year': 2003, 'value': 10.22}, {'year': 2004, 'value': 11.23}, {'year': 2005, 'value': 12.98}, {'year': 2006, 'value': 13.45}, {'year': 2007, 'value': 15.44}, {'year': 2008, 'value': 16.93}, {'year': 2009, 'value': 21.0}, {'year': 2010, 'value': 25.72}, {'year': 2011, 'value': 30.56}, {'year': 2012, 'value': 30.84}, {'year': 2013, 'value': 33.43}, {'year': 2014, 'value': 36.19}, {'year': 2015, 'value': 38.18}, {'year': 2016, 'value': 41.69}, {'year': 2017, 'value': 48.59}, {'year': 2018, 'value': 56.48}, {'year': 2019, 'value': 64.36}, {'year': 2020, 'value': 68.87}, {'year': 2021, 'value': 71.47}]"
1068467,VNM,Vietnam,Climate Watch,Agriculture,All GHG,MtCO₂e,"[{'year': 1990, 'value': 45.99}, {'year': 1991, 'value': 48.45}, {'year': 1992, 'value': 49.44}, {'year': 1993, 'value': 50.67}, {'year': 1994, 'value': 53.28}, {'year': 1995, 'value': 54.2}, {'year': 1996, 'value': 56.92}, {'year': 1997, 'value': 57.25}, {'year': 1998, 'value': 60.5}, {'year': 1999, 'value': 62.59}, {'year': 2000, 'value': 63.76}, {'year': 2001, 'value': 61.19}, {'year': 2002, 'value': 62.5}, {'year': 2003, 'value': 64.23}, {'year': 2004, 'value': 65.83}, {'year': 2005, 'value': 65.55}, {'year': 2006, 'value': 66.26}, {'year': 2007, 'value': 67.56}, {'year': 2008, 'value': 64.99}, {'year': 2009, 'value': 70.15}, {'year': 2010, 'value': 67.73}, {'year': 2011, 'value': 66.47}, {'year': 2012, 'value': 67.52}, {'year': 2013, 'value': 70.53}, {'year': 2014, 'value': 68.93}, {'year': 2015, 'value': 71.71}, {'year': 2016, 'value': 70.78}, {'year': 2017, 'value': 70.82}, {'year': 2018, 'value': 70.69}, {'year': 2019, 'value': 68.99}, {'year': 2020, 'value': 68.78}, {'year': 2021, 'value': 69.61}]"
1068468,VNM,Vietnam,Climate Watch,Waste,All GHG,MtCO₂e,"[{'year': 1990, 'value': 2.46}, {'year': 1991, 'value': 2.54}, {'year': 1992, 'value': 2.63}, {'year': 1993, 'value': 2.71}, {'year': 1994, 'value': 2.79}, {'year': 1995, 'value': 3.86}, {'year': 1996, 'value': 4.93}, {'year': 1997, 'value': 6.0}, {'year': 1998, 'value': 7.07}, {'year': 1999, 'value': 8.14}, {'year': 2000, 'value': 9.21}, {'year': 2001, 'value': 10.07}, {'year': 2002, 'value': 10.93}, {'year': 2003, 'value': 11.78}, {'year': 2004, 'value': 12.64}, {'year': 2005, 'value': 13.5}, {'year': 2006, 'value': 14.35}, {'year': 2007, 'value': 15.21}, {'year': 2008, 'value': 16.06}, {'year': 2009, 'value': 16.92}, {'year': 2010, 'value': 17.78}, {'year': 2011, 'value': 18.25}, {'year': 2012, 'value': 18.73}, {'year': 2013, 'value': 19.2}, {'year': 2014, 'value': 19.45}, {'year': 2015, 'value': 19.7}, {'year': 2016, 'value': 19.93}, {'year': 2017, 'value': 20.16}, {'year': 2018, 'value': 20.4}, {'year': 2019, 'value': 20.63}, {'year': 2020, 'value': 20.86}, {'year': 2021, 'value': 21.06}]"
1068469,VNM,Vietnam,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,"[{'year': 1990, 'value': -72.69}, {'year': 1991, 'value': -72.69}, {'year': 1992, 'value': -72.69}, {'year': 1993, 'value': -72.69}, {'year': 1994, 'value': -72.69}, {'year': 1995, 'value': -72.67}, {'year': 1996, 'value': -72.95}, {'year': 1997, 'value': -73.19}, {'year': 1998, 'value': -71.69}, {'year': 1999, 'value': -72.58}, {'year': 2000, 'value': -72.59}, {'year': 2001, 'value': 17.19}, {'year': 2002, 'value': 20.64}, {'year': 2003, 'value': 18.24}, {'year': 2004, 'value': 18.9}, {'year': 2005, 'value': 18.77}, {'year': 2006, 'value': 17.55}, {'year': 2007, 'value': 18.61}, {'year': 2008, 'value': 17.44}, {'year': 2009, 'value': 17.63}, {'year': 2010, 'value': 18.24}, {'year': 2011, 'value': -23.07}, {'year': 2012, 'value': -22.98}, {'year': 2013, 'value': -20.72}, {'year': 2014, 'value': -22.21}, {'year': 2015, 'value': -23.16}, {'year': 2016, 'value': -12.66}, {'year': 2017, 'value': -13.14}, {'year': 2018, 'value': -13.08}, {'year': 2019, 'value': -12.95}, {'year': 2020, 'value': -12.41}, {'year': 2021, 'value': -13.02}]"
1068470,VNM,Vietnam,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,"[{'year': 1990, 'value': 0.09}, {'year': 1991, 'value': 0.1}, {'year': 1992, 'value': 0.11}, {'year': 1993, 'value': 0.15}, {'year': 1994, 'value': 0.16}, {'year': 1995, 'value': 0.35}, {'year': 1996, 'value': 0.36}, {'year': 1997, 'value': 0.3}, {'year': 1998, 'value': 0.42}, {'year': 1999, 'value': 0.62}, {'year': 2000, 'value': 0.77}, {'year': 2001, 'value': 0.96}, {'year': 2002, 'value': 1.09}, {'year': 2003, 'value': 1.19}, {'year': 2004, 'value': 1.65}, {'year': 2005, 'value': 1.65}, {'year': 2006, 'value': 1.72}, {'year': 2007, 'value': 1.8}, {'year': 2008, 'value': 1.97}, {'year': 2009, 'value': 2.12}, {'year': 2010, 'value': 2.55}, {'year': 2011, 'value': 2.03}, {'year': 2012, 'value': 2.09}, {'year': 2013, 'value': 2.28}, {'year': 2014, 'value': 2.26}, {'year': 2015, 'value': 2.77}, {'year': 2016, 'value': 3.02}, {'year': 2017, 'value': 3.45}, {'year': 2018, 'value': 4.0}, {'year': 2019, 'value': 4.99}, {'year': 2020, 'value': 1.5}, {'year': 2021, 'value': 1.86}]"
1068471,VNM,Vietnam,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,"[{'year': 1990, 'value': 19.31}, {'year': 1991, 'value': 19.77}, {'year': 1992, 'value': 20.78}, {'year': 1993, 'value': 24.22}, {'year': 1994, 'value': 26.66}, {'year': 1995, 'value': 31.37}, {'year': 1996, 'value': 35.01}, {'year': 1997, 'value': 40.82}, {'year': 1998, 'value': 45.45}, {'year': 1999, 'value': 46.38}, {'year': 2000, 'value': 51.18}, {'year': 2001, 'value': 56.69}, {'year': 2002, 'value': 66.47}, {'year': 2003, 'value': 70.88}, {'year': 2004, 'value': 85.03}, {'year': 2005, 'value': 92.34}, {'year': 2006, 'value': 94.85}, {'year': 2007, 'value': 105.11}, {'year': 2008, 'value': 117.56}, {'year': 2009, 'value': 132.27}, {'year': 2010, 'value': 151.39}, {'year': 2011, 'value': 155.94}, {'year': 2012, 'value': 155.49}, {'year': 2013, 'value': 164.25}, {'year': 2014, 'value': 180.64}, {'year': 2015, 'value': 201.41}, {'year': 2016, 'value': 223.13}, {'year': 2017, 'value': 231.3}, {'year': 2018, 'value': 288.53}, {'year': 2019, 'value': 344.55}, {'year': 2020, 'value': 358.95}, {'year': 2021, 'value': 347.89}]"
1068472,VNM,Vietnam,Climate Watch,Total excluding LUCF,CH4,MtCO₂e,"[{'year': 1990, 'value': 44.01}, {'year': 1991, 'value': 46.23}, {'year': 1992, 'value': 47.89}, {'year': 1993, 'value': 49.28}, {'year': 1994, 'value': 49.54}, {'year': 1995, 'value': 52.85}, {'year': 1996, 'value': 55.91}, {'year': 1997, 'value': 58.21}, {'year': 1998, 'value': 61.66}, {'year': 1999, 'value': 65.0}, {'year': 2000, 'value': 66.94}, {'year': 2001, 'value': 67.6}, {'year': 2002, 'value': 69.57}, {'year': 2003, 'value': 71.72}, {'year': 2004, 'value': 77.06}, {'year': 2005, 'value': 80.26}, {'year': 2006, 'value': 83.05}, {'year': 2007, 'value': 84.49}, {'year': 2008, 'value': 84.68}, {'year': 2009, 'value': 87.34}, {'year': 2010, 'value': 88.08}, {'year': 2011, 'value': 89.14}, {'year': 2012, 'value': 89.24}, {'year': 2013, 'value': 90.05}, {'year': 2014, 'value': 89.99}, {'year': 2015, 'value': 88.52}, {'year': 2016, 'value': 87.36}, {'year': 2017, 'value': 86.8}, {'year': 2018, 'value': 87.05}, {'year': 2019, 'value': 86.56}, {'year': 2020, 'value': 84.19}, {'year': 2021, 'value': 86.9}]"
