continent,year,countries_count,total_population,total_gdp,total_emissions,total_primary_energy,total_fossil_fuel,total_renewables,fossil_share,renewables_share,emissions_per_capita,energy_per_capita,gdp_per_capita,data_level,country,iso_code
Africa,2015,54,1199438773,5448766237504,1677.48,5206.671,3126.814,73.75,60.05399611383165,1.4164520861794416,1.3985540885962338e-6,4.340922702521307e-6,4542.7631323570695,Continent,Africa,NA
Africa,2016,54,1230413902,5551622865472,1680.93,5373.629,3235.418,79.002,60.20918079755786,1.4701796495440975,1.3661500388346556e-6,4.367334432149484e-6,4511.996212370494,Continent,Africa,NA
Africa,2017,54,1261605288,5734323058112,1728.17,5461.871,3280.135,88.898,60.055153261583804,1.6276107582914354,1.3698182913767242e-6,4.32930255758408e-6,4545.2592127308835,Continent,Africa,NA
Africa,2018,54,1293503648,5932685929344,1754.88,5544.115,3277.739,96.814,59.12104997822015,1.7462480486064955,1.356687321843564e-6,4.286122430788846e-6,4586.524312101515,Continent,Africa,NA
Africa,2019,54,1325907102,6112113911040,1776.07,5688.497,3350.9539999999997,110.521,58.90754622881931,1.9428857921521274,1.3395131508994663e-6,4.290268142782752e-6,4609.760293025416,Continent,Africa,NA
Africa,2020,54,1358852525,5967242144704,1685.2,5413.016,3125.888,122.55199999999999,57.747621658609546,2.2640243442842216,1.2401640126473622e-6,3.983519845172308e-6,4391.383196424498,Continent,Africa,NA
Africa,2021,54,1391823552,6298045570496,1766.79,5635.7789999999995,3276.73,133.76500000000001,58.14156303857906,2.373496192806709,1.2694065978846145e-6,4.04920508199591e-6,4525.031611547266,Continent,Africa,NA
Africa,2022,54,1424855033,6513965909248,1760.8899999999999,3460.9530000000004,3300.664,135.021,95.36864557247671,3.90126650087418,1.235838004019599e-6,2.4289860511023655e-6,4571.669228365634,Continent,Africa,NA
Asia,2015,49,4451422574,49874748600320,18807.79,74630.823,65612.397,5699.8460000000005,87.91594995542256,7.63738864302756,4.225118978785141e-6,1.6765611837417078e-5,11204.226912005592,Continent,Asia,NA
Asia,2016,49,4496090984,52663014735872,18906.64,75810.43800000001,66014.152,6163.179999999999,87.07791927016699,8.129724827602235,4.20512842539932e-6,1.6861411005645255e-5,11713.066956002685,Continent,Asia,NA
Asia,2017,49,4540203471,55397611560960,19438.870000000003,78615.164,68645.22499999999,6715.927,87.31804591796055,8.542788259018323,4.281497541721077e-6,1.7315339389995372e-5,12201.570241247015,Continent,Asia,NA
Asia,2018,49,4581889026,58231460186112,20076.96,81510.184,70644.754,7361.456,86.66984974540115,9.031332820939284,4.38180843884978e-6,1.7789646047180364e-5,12709.050755196531,Continent,Asia,NA
Asia,2019,49,4620807808,60551286114304,20366.93,83948.578,72042.19200000001,8139.559,85.8170486223126,9.695886689111042,4.407655727368438e-6,1.8167511285507246e-5,13104.04774019634,Continent,Asia,NA
Asia,2020,49,4656146921,59770426251264,20047.64,83629.444,70545.428,8695.898,84.35477342166713,10.39812963482096,4.305628739845342e-6,1.7961083578101294e-5,12836.88579105814,Continent,Asia,NA
Asia,2021,49,4686395129,63797335975936,21097.5,87931.958,73804.88,9551.339,83.93408003037986,10.862193015194771,4.501861114835586e-6,1.8763240311485053e-5,13613.30707714979,Continent,Asia,NA
Asia,2022,49,4714450819,66436999153664,21540.39,85593.151,71979.254,10456.99,84.09464210518432,12.217087322792919,4.569013619399473e-6,1.8155487094073766e-5,14092.203250039673,Continent,Asia,NA
Europe,2015,39,739841294,22836311219200,5701.14,29825.824,22638.677,3795.991,75.90293901016784,12.72719573481021,7.70589590799456e-6,4.0313813573103965e-5,30866.499889096485,Continent,Europe,NA
Europe,2016,39,741057070,23232587086848,5693.38,30173.449,22971.292,3876.569,76.1308128878472,12.847616459092892,7.68278211015516e-6,4.0716768278049084e-5,31350.604464036758,Continent,Europe,NA
