development_status,year,countries_count,total_population,total_gdp,total_emissions,total_primary_energy,total_fossil_fuel,total_renewables,fossil_share,renewables_share,emissions_per_capita,energy_per_capita,gdp_per_capita,data_level,country,iso_code,continent
Developed,2015,23,931922136,40718620540928,10303.05,54252.248,43014.491,6744.121,79.28609889123858,12.431044332024731,1.1055698327140068e-5,5.8215430135463594e-5,43693.15736580808,Development Status,Developed,NA,NA
Developed,2016,23,936409338,41400574492672,10143.93,54209.555,42719.261999999995,7008.874,78.8039341034989,12.929222532817322,1.0832794578560685e-5,5.789087400151492e-5,44212.047886126486,Development Status,Developed,NA,NA
Developed,2017,23,940899537,42351219109888,10078.22,54556.017,42795.864,7317.357,78.44389373219823,13.412557225356094,1.071126045202847e-5,5.798282904245918e-5,45011.41455008283,Development Status,Developed,NA,NA
Developed,2018,23,945090749,43270829943808,10186.619999999999,55462.603,43387.385,7601.7249999999995,78.22818016673325,13.706037201319237,1.0778457000852518e-5,5.8684949629106995e-5,45784.84128597475,Development Status,Developed,NA,NA
Developed,2019,23,949139739,43985169887232,9901.89,54920.513999999996,42674.717,7757.758,77.70269047372717,14.125428614888783,1.0432489119497293e-5,5.7863464928634706e-5,46342.143395633335,Development Status,Developed,NA,NA
Developed,2020,23,951939763,41947315620864,8960,50852.977,38483.786,8246.083,75.67656461882262,16.21553640802583,9.412360265068578e-6,5.342037277625517e-5,44065.094506262365,Development Status,Developed,NA,NA
Developed,2021,23,953482933,44149094371328,9404.96,53135.601,40470.916,8451.491,76.16534910370167,15.905515023722042,9.863794803760793e-6,5.5727899431630415e-5,46302.97286226098,Development Status,Developed,NA,NA
Developed,2022,23,955166232,45281135544320,9420.81,53271.523,40620.787,8799.434,76.25234780691365,16.518082278218323,9.863005709774715e-6,5.577199152911428e-5,47406.54979972114,Development Status,Developed,NA,NA
Developing,2015,197,6492038840,66332155506240,24414.82,97893.90299999999,81603.276,8293.94,83.35889519084759,8.472376466591593,3.760732275594334e-6,1.5079069212715922e-5,10217.461284664772,Development Status,Developing,NA,NA
Developing,2016,197,6574422023,69181806819136,24487.34,99557.43400000001,82359.767,8862.115,82.72588363416438,8.901510056998857,3.7246376813556133e-6,1.514314621904521e-5,10522.872820927822,Development Status,Developing,NA,NA
Developing,2017,197,6656284477,72369305872640,25054.260000000002,102651.065,85144.238,9492.648000000001,82.94530407453638,9.247491002650582,3.764000785509096e-6,1.5421676365350453e-5,10872.327666088122,Development Status,Developing,NA,NA
Developing,2018,197,6736067580,75709324025280,25749.54,105978.712,87356.167,10271.16,82.42803233917392,9.691719974856836,3.822636826930409e-6,1.5733023866129325e-5,11239.394962435932,Development Status,Developing,NA,NA
Developing,2019,197,6813187611,78396274422848,26022.24,108361.262,88597.90000000001,11150.649,81.76159853140138,10.290253910110422,3.8193928430778396e-6,1.5904634979528382e-5,11506.548608213277,Development Status,Developing,NA,NA
Developing,2020,197,6886391361,76870363056576,25279.69,106736.728,85856.354,11784.099,80.43749851503786,11.040341240364796,3.6709633064376168e-6,1.549966047594779e-5,11162.648044071278,Development Status,Developing,NA,NA
Developing,2021,197,6953186541,82111596813120,26737.14,112233.147,90129.111,12685.084,80.3052515314393,11.302439911089726,3.845307448943358e-6,1.614125355881201e-5,11809.203784328616,Development Status,Developing,NA,NA
Developing,2022,187,7014509978,85112705164672,27094.87,106411.98,88518.997,13791.482,83.18517990173663,12.960459903104896,3.862688924098641e-6,1.5170265682670043e-5,12133.806271801699,Development Status,Developing,NA,NA
